sujet,date,statut
Synthwave et imagerie rétro-futuriste spatiale en décoration,2025-10-12T16:11:57.416634,succès_2025-10-13_09:00
Guardians of the Galaxy : quand les couleurs cosmiques deviennent pop,2025-10-12T16:19:41.226944,échec_publication
Culture rave et nébuleuses fluorescentes dans la déco moderne,2025-10-12T16:23:17.575092,échec_publication
Interstellar et la nouvelle représentation des trous noirs,2025-10-12T16:27:12.139896,succès_2025-10-13_09:00
Science-fiction française et son influence sur l'art spatial européen,2025-10-12T16:32:04.935086,succès_2025-10-13_09:00
Mouvement Outrun : l'obsession pour les horizons cosmiques,2025-10-12T16:41:30.372107,succès_2025-10-13_09:00
Steampunk spatial : l'astronomie rétro réinventée en décoration,2025-10-12T16:48:53.656826,succès_2025-10-13_09:00
Influence de Moebius sur l'esthétique désertique-spatiale,2025-10-12T16:53:15.460124,échec_publication
Cosmic Horror : de Lovecraft aux intérieurs gothiques spatiaux,2025-10-12T16:57:11.553343,échec_publication
Mythologies stellaires africaines dans l'art contemporain,2025-10-12T17:00:29.733276,échec_publication
Science-fiction française et son influence sur l'art spatial européen,2025-10-12T17:38:22.666723,succès
Mouvement Outrun : l'obsession pour les horizons cosmiques,2025-10-13T06:58:49.863457,succès
Steampunk spatial : l'astronomie rétro réinventée en décoration,2025-10-13T07:04:34.644217,succès
Influence de Moebius sur l'esthétique désertique-spatiale,2025-10-13T07:09:10.602359,succès
Comment choisir une palette de couleurs neutres pour un Airbnb ?,2025-10-13T07:48:48.775953,succès
Quelles sont les meilleures idées de décoration minimaliste pour location saisonnière ?,2025-10-13T07:53:18.247636,succès
Quelle est l'origine de la tradition des portraits équestres dans les hôtels-châteaux français ?,2025-10-18T14:35:21.451130,succès
Les grands hôtels suisses ont-ils développé un style alpin reconnaissable en art mural ?,2025-10-20T22:02:48.332966,succès
Pourquoi certains palaces conservent-ils des tableaux muraux directement peints sur plâtre plutôt que sur toile ?,2025-10-23T22:02:34.908241,succès
Comment la lumière électrique a-t-elle modifié les choix chromatiques des tableaux muraux hôteliers après 1880 ?,2025-10-27T22:02:58.216537,succès
Quelle symbolique se cachait derrière les scènes mythologiques des plafonds de grands hôtels parisiens ?,2025-10-30T22:03:01.024989,succès
Les fresques Art Nouveau des hôtels bruxellois utilisaient-elles des pigments différents de la peinture chevalet ?,2025-11-03T22:02:41.535114,succès
Pourquoi les hôtels londoniens victoriens préféraient-ils les marines aux paysages continentaux ?,2025-11-06T22:03:11.985064,succès
Comment reconnaître une fresque d'origine d'un repeint dans les hôtels historiques classés ?,2025-11-10T22:02:31.347615,succès
Quel peintre a codifié les scènes de chasse pour les grands lodges de montagne européens ?,2025-11-13T22:02:53.172465,succès
La perspective atmosphérique était-elle calculée différemment pour les grands volumes hôteliers ?,2025-11-17T22:02:56.145426,succès
Pourquoi les hôtels thermaux allemands comportaient-ils systématiquement des représentations de sources antiques ?,2025-11-20T22:02:44.566588,succès
Comment les tableaux muraux évoluaient-ils entre le hall d'entrée et les étages privés d'un palace ?,2025-11-24T22:02:54.410687,succès
Quelle école artistique dominait les commandes des grands hôtels italiens dans les années 1920 ?,2025-11-27T22:02:38.579519,succès
Les architectes hôteliers imposaient-ils des contraintes de format spécifiques aux peintres muraux ?,2025-12-01T22:03:08.334155,succès
Pourquoi certains hôtels de luxe possèdent-ils des cycles narratifs complets en plusieurs tableaux muraux ?,2025-12-04T22:03:03.647766,succès
Comment la restauration d'un tableau mural d'hôtel diffère-t-elle d'une œuvre de musée ?,2025-12-08T22:03:12.959392,succès
Quelle était la durée moyenne de réalisation d'une fresque monumentale pour un grand hôtel ?,2025-12-11T22:03:14.649041,succès
Les pigments utilisés dans les espaces publics hôteliers devaient-ils résister à des contraintes particulières ?,2025-12-15T22:02:53.161313,succès
Pourquoi l'iconographie florale changeait-elle selon l'orientation géographique des hôtels de luxe ?,2025-12-18T22:03:13.105493,succès
Comment les peintres adaptaient-ils leurs compositions aux éclairages naturels changeants des verrières hôtelières ?,2025-12-22T22:02:58.274788,succès
Quelle influence les expositions universelles ont-elles eu sur l'art mural des grands hôtels environnants ?,2025-12-25T22:02:53.595334,succès
Les tableaux muraux des wagons-lits de luxe suivaient-ils les mêmes codes esthétiques que les hôtels ?,2025-12-29T22:07:42.965892,succès
